,,Demand
sc02,01-16 19:00:00+01:00,4565.644
sc02,01-16 20:00:00+01:00,4192.108
sc02,01-16 21:00:00+01:00,3696.675
sc02,01-16 22:00:00+01:00,3457.727
sc02,01-16 23:00:00+01:00,2918.726
sc02,01-17 00:00:00+01:00,2781.151
sc02,01-17 01:00:00+01:00,2688.042
sc02,01-17 02:00:00+01:00,2612.836
sc02,01-17 03:00:00+01:00,2676.531
sc02,01-17 04:00:00+01:00,2910.701
sc02,01-17 05:00:00+01:00,3343.186
sc02,01-17 06:00:00+01:00,3781.706
sc02,01-17 07:00:00+01:00,4074.208
sc02,01-17 08:00:00+01:00,4236.577
sc02,01-17 09:00:00+01:00,4271.958
sc02,01-17 10:00:00+01:00,4228.956
sc02,01-17 11:00:00+01:00,4145.842
sc02,01-17 12:00:00+01:00,4014.751
sc02,01-17 13:00:00+01:00,3869.911
sc02,01-17 14:00:00+01:00,3805.628
sc02,01-17 15:00:00+01:00,3814.071
sc02,01-17 16:00:00+01:00,3971.893
sc02,01-17 17:00:00+01:00,4258.437
sc02,01-17 18:00:00+01:00,4487.346
sc02,01-17 19:00:00+01:00,4451.024
sc02,01-17 20:00:00+01:00,4088.297
sc02,01-17 21:00:00+01:00,3607.736
sc02,01-17 22:00:00+01:00,3384.677
sc02,01-17 23:00:00+01:00,2884.017
sc02,01-18 00:00:00+01:00,2752.892
sc02,01-18 01:00:00+01:00,2662.411
sc02,01-18 02:00:00+01:00,2587.024
sc02,01-18 03:00:00+01:00,2650.876
sc02,01-18 04:00:00+01:00,2872.016
sc02,01-18 05:00:00+01:00,3272.486
sc02,01-18 06:00:00+01:00,3691.721
sc02,01-18 07:00:00+01:00,3990.009
sc02,01-18 08:00:00+01:00,4164.576
sc02,01-18 09:00:00+01:00,4217.529
sc02,01-18 10:00:00+01:00,4192.172
sc02,01-18 11:00:00+01:00,4117.041
sc02,01-18 12:00:00+01:00,3987.646
sc02,01-18 13:00:00+01:00,3847.58
sc02,01-18 14:00:00+01:00,3786.426
sc02,01-18 15:00:00+01:00,3789.242
sc02,01-18 16:00:00+01:00,3921.296
