Scenario,LoadLevel,Battery,PumpedHydro,StorageHydro
sc02,01-15 20:00:00+01:00,0.0,0.0,0.0
sc02,01-15 21:00:00+01:00,0.0,0.0,0.0
sc02,01-15 22:00:00+01:00,0.0,0.0,0.0
sc02,01-15 23:00:00+01:00,0.0,0.0,0.0
sc02,01-16 00:00:00+01:00,66.48016168947305,0.0,0.0
sc02,01-16 01:00:00+01:00,60.68254630000043,0.0,0.0
sc02,01-16 02:00:00+01:00,68.0174940000003,0.0,0.0
sc02,01-16 03:00:00+01:00,15.346113799999909,0.0,0.0
sc02,01-16 04:00:00+01:00,0.0,0.0,0.0
sc02,01-16 05:00:00+01:00,0.0,0.0,0.0
sc02,01-16 06:00:00+01:00,0.0,0.0,0.0
sc02,01-16 07:00:00+01:00,0.0,0.0,0.0
sc02,01-16 08:00:00+01:00,0.0,0.0,0.0
sc02,01-16 09:00:00+01:00,0.0,0.0,0.0
sc02,01-16 10:00:00+01:00,0.0,0.0,0.0
sc02,01-16 11:00:00+01:00,0.0,0.0,0.0
sc02,01-16 12:00:00+01:00,83.48546530000003,0.0,0.0
sc02,01-16 13:00:00+01:00,57.90958769999976,0.0,0.0
sc02,01-16 14:00:00+01:00,69.1312627894739,0.0,0.0
sc02,01-16 15:00:00+01:00,0.0,0.0,0.0
sc02,01-16 16:00:00+01:00,0.0,0.0,0.0
sc02,01-16 17:00:00+01:00,0.0,0.0,0.0
sc02,01-16 18:00:00+01:00,0.0,0.0,0.0
sc02,01-16 19:00:00+01:00,0.0,0.0,0.0
sc02,01-16 20:00:00+01:00,0.0,0.0,0.0
sc02,01-16 21:00:00+01:00,0.0,0.0,0.0
sc02,01-16 22:00:00+01:00,0.0,0.0,0.0
sc02,01-16 23:00:00+01:00,0.0,0.0,0.0
sc02,01-17 00:00:00+01:00,100.0,0.0,0.0
sc02,01-17 01:00:00+01:00,10.526315789473694,0.0,0.0
sc02,01-17 02:00:00+01:00,100.0,0.0,0.0
sc02,01-17 03:00:00+01:00,0.0,0.0,0.0
sc02,01-17 04:00:00+01:00,0.0,0.0,0.0
sc02,01-17 05:00:00+01:00,0.0,0.0,0.0
sc02,01-17 06:00:00+01:00,0.0,0.0,0.0
sc02,01-17 07:00:00+01:00,0.0,0.0,0.0
sc02,01-17 08:00:00+01:00,0.0,0.0,0.0
sc02,01-17 09:00:00+01:00,0.0,0.0,0.0
sc02,01-17 10:00:00+01:00,0.0,0.0,0.0
sc02,01-17 11:00:00+01:00,0.0,0.0,0.0
sc02,01-17 12:00:00+01:00,0.0,0.0,0.0
sc02,01-17 13:00:00+01:00,95.99013639999987,0.0,0.0
sc02,01-17 14:00:00+01:00,100.0,0.0,0.0
sc02,01-17 15:00:00+01:00,14.536179389473824,0.0,0.0
sc02,01-17 16:00:00+01:00,0.0,0.0,0.0
sc02,01-17 17:00:00+01:00,0.0,0.0,0.0
sc02,01-17 18:00:00+01:00,0.0,0.0,0.0
sc02,01-17 19:00:00+01:00,0.0,0.0,0.0
sc02,01-17 20:00:00+01:00,0.0,0.0,0.0
sc02,01-17 21:00:00+01:00,0.0,0.0,0.0
sc02,01-17 22:00:00+01:00,0.0,0.0,0.0
sc02,01-17 23:00:00+01:00,0.0,0.0,0.0
sc02,01-18 00:00:00+01:00,100.0,0.0,0.0
sc02,01-18 01:00:00+01:00,100.0,0.0,0.0
sc02,01-18 02:00:00+01:00,10.526315789473694,0.0,0.0
sc02,01-18 03:00:00+01:00,0.0,0.0,0.0
sc02,01-18 04:00:00+01:00,0.0,0.0,0.0
sc02,01-18 05:00:00+01:00,0.0,0.0,0.0
sc02,01-18 06:00:00+01:00,0.0,0.0,0.0
sc02,01-18 07:00:00+01:00,0.0,0.0,0.0
sc02,01-18 08:00:00+01:00,0.0,0.0,0.0
sc02,01-18 09:00:00+01:00,0.0,0.0,0.0
sc02,01-18 10:00:00+01:00,0.0,0.0,0.0
sc02,01-18 11:00:00+01:00,0.0,0.0,0.0
sc02,01-18 12:00:00+01:00,0.0,0.0,0.0
sc02,01-18 13:00:00+01:00,78.27373349999989,0.0,0.0
sc02,01-18 14:00:00+01:00,100.0,0.0,0.0
sc02,01-18 15:00:00+01:00,32.252582289473814,0.0,0.0
sc02,01-18 16:00:00+01:00,0.0,0.0,0.0
sc02,01-18 17:00:00+01:00,0.0,0.0,0.0
sc02,01-18 18:00:00+01:00,0.0,0.0,0.0
sc02,01-18 19:00:00+01:00,0.0,0.0,0.0
sc02,01-18 20:00:00+01:00,0.0,0.0,0.0
sc02,01-18 21:00:00+01:00,0.0,0.0,0.0
sc02,01-18 22:00:00+01:00,0.0,0.0,0.0
sc02,01-18 23:00:00+01:00,0.0,0.0,0.0
sc02,01-19 00:00:00+01:00,0.0,0.0,0.0
sc02,01-19 01:00:00+01:00,92.8943120894732,0.0,0.0
sc02,01-19 02:00:00+01:00,84.79738120000012,0.0,0.0
sc02,01-19 03:00:00+01:00,32.83462250000039,0.0,0.0
sc02,01-19 04:00:00+01:00,0.0,0.0,0.0
sc02,01-19 05:00:00+01:00,0.0,0.0,0.0
sc02,01-19 06:00:00+01:00,0.0,0.0,0.0
sc02,01-19 07:00:00+01:00,0.0,0.0,0.0
sc02,01-19 08:00:00+01:00,0.0,0.0,0.0
sc02,01-19 09:00:00+01:00,0.0,0.0,0.0
sc02,01-19 10:00:00+01:00,0.0,0.0,0.0
sc02,01-19 11:00:00+01:00,0.0,0.0,0.0
sc02,01-19 12:00:00+01:00,32.22462469999962,0.0,0.0
sc02,01-19 13:00:00+01:00,78.30169108947408,0.0,0.0
sc02,01-19 14:00:00+01:00,100.0,0.0,0.0
sc02,01-19 15:00:00+01:00,0.0,0.0,0.0
sc02,01-19 16:00:00+01:00,0.0,0.0,0.0
sc02,01-19 17:00:00+01:00,0.0,0.0,0.0
sc02,01-19 18:00:00+01:00,0.0,0.0,0.0
sc02,01-19 19:00:00+01:00,0.0,0.0,0.0
sc02,01-19 20:00:00+01:00,0.0,0.0,0.0
sc02,01-19 21:00:00+01:00,0.0,0.0,0.0
sc02,01-19 22:00:00+01:00,5.263157894736847,0.0,0.0
sc02,01-19 23:00:00+01:00,100.0,0.0,0.0
sc03,01-13 00:00:00+01:00,0.0,14.849114200000486,0.0
sc03,01-13 01:00:00+01:00,0.0,201.88983980000012,0.0
sc03,01-13 02:00:00+01:00,0.0,347.0512871000006,0.0
sc03,01-13 03:00:00+01:00,5.263157894736847,410.4877646052633,0.0
sc03,01-13 04:00:00+01:00,100.0,363.8231870000002,0.0
sc03,01-13 05:00:00+01:00,0.0,255.44732330000036,0.0
sc03,01-13 06:00:00+01:00,0.0,0.0,0.0
sc03,01-13 07:00:00+01:00,0.0,0.0,0.0
sc03,01-13 08:00:00+01:00,0.0,0.0,0.0
sc03,01-13 09:00:00+01:00,0.0,0.0,0.0
sc03,01-13 10:00:00+01:00,0.0,0.0,0.0
sc03,01-13 11:00:00+01:00,0.0,0.0,0.0
sc03,01-13 12:00:00+01:00,0.0,0.0,0.0
sc03,01-13 13:00:00+01:00,19.378286500000204,0.0,0.0
sc03,01-13 14:00:00+01:00,100.0,111.75875369999991,0.0
sc03,01-13 15:00:00+01:00,91.14802928947351,101.63318351052646,0.0
sc03,01-13 16:00:00+01:00,0.0,0.0,0.0
sc03,01-13 17:00:00+01:00,0.0,0.0,0.0
sc03,01-13 18:00:00+01:00,0.0,0.0,0.0
sc03,01-13 19:00:00+01:00,0.0,0.0,0.0
sc03,01-13 20:00:00+01:00,0.0,0.0,0.0
sc03,01-13 21:00:00+01:00,0.0,0.0,0.0
sc03,01-13 22:00:00+01:00,0.0,0.0,0.0
sc03,01-13 23:00:00+01:00,0.0,0.0,0.0
sc03,01-14 00:00:00+01:00,0.0,0.0,0.0
sc03,01-14 01:00:00+01:00,0.0,0.0,0.0
sc03,01-14 02:00:00+01:00,0.0,0.0,0.0
sc03,01-14 03:00:00+01:00,0.0,0.0,0.0
sc03,01-14 04:00:00+01:00,100.0,17.930589700000414,0.0
sc03,01-14 05:00:00+01:00,76.81961950000041,0.0,0.0
sc03,01-14 06:00:00+01:00,0.0,0.0,0.0
sc03,01-14 07:00:00+01:00,0.0,0.0,0.0
sc03,01-14 08:00:00+01:00,0.0,0.0,0.0
sc03,01-14 09:00:00+01:00,0.0,0.0,0.0
sc03,01-14 10:00:00+01:00,0.0,0.0,0.0
sc03,01-14 11:00:00+01:00,0.0,134.70070859999976,0.0
sc03,01-14 12:00:00+01:00,0.0,258.1015006000004,0.0
sc03,01-14 13:00:00+01:00,0.0,495.8519204,0.0
sc03,01-14 14:00:00+01:00,100.0,500.0,0.0
sc03,01-14 15:00:00+01:00,100.0,500.0,0.0
sc03,01-14 16:00:00+01:00,10.526315789473694,69.99138571052626,0.0
sc03,01-14 17:00:00+01:00,0.0,0.0,0.0
sc03,01-14 18:00:00+01:00,0.0,0.0,0.0
sc03,01-14 19:00:00+01:00,0.0,0.0,0.0
sc03,01-14 20:00:00+01:00,0.0,0.0,0.0
sc03,01-14 21:00:00+01:00,0.0,0.0,0.0
sc03,01-14 22:00:00+01:00,0.0,0.0,0.0
sc03,01-14 23:00:00+01:00,0.0,0.0,0.0
sc03,01-15 00:00:00+01:00,41.34251920000023,0.0,0.0
sc03,01-15 01:00:00+01:00,69.18379658947346,71.91882521052656,0.0
sc03,01-15 02:00:00+01:00,100.0,155.19179720000045,0.0
sc03,01-15 03:00:00+01:00,0.0,94.29217940000036,0.0
sc03,01-15 04:00:00+01:00,0.0,0.0,0.0
sc03,01-15 05:00:00+01:00,0.0,0.0,0.0
sc03,01-15 06:00:00+01:00,0.0,0.0,0.0
sc03,01-15 07:00:00+01:00,0.0,0.0,0.0
sc03,01-15 08:00:00+01:00,0.0,0.0,0.0
sc03,01-15 09:00:00+01:00,0.0,0.0,0.0
sc03,01-15 10:00:00+01:00,0.0,0.0,0.0
sc03,01-15 11:00:00+01:00,0.0,0.0,0.0
sc03,01-15 12:00:00+01:00,0.0,0.0,0.0
sc03,01-15 13:00:00+01:00,0.0,0.0,0.0
sc03,01-15 14:00:00+01:00,100.0,11.775679699999847,0.0
sc03,01-15 15:00:00+01:00,0.0,0.0,0.0
sc03,01-15 16:00:00+01:00,0.0,0.0,0.0
sc03,01-15 17:00:00+01:00,0.0,0.0,0.0
sc03,01-15 18:00:00+01:00,0.0,0.0,0.0
sc03,01-15 19:00:00+01:00,0.0,0.0,0.0
sc03,01-15 20:00:00+01:00,0.0,0.0,0.0
sc03,01-15 21:00:00+01:00,0.0,0.0,0.0
sc03,01-15 22:00:00+01:00,0.0,0.0,0.0
sc03,01-15 23:00:00+01:00,0.0,224.75484630000014,0.0
sc03,01-16 00:00:00+01:00,100.0,315.9872748000005,0.0
sc03,01-16 01:00:00+01:00,10.526315789473694,482.29400401052663,0.0
sc03,01-16 02:00:00+01:00,0.0,463.8142414000001,0.0
sc03,01-16 03:00:00+01:00,0.0,418.7081702999998,0.0
sc03,01-16 04:00:00+01:00,100.0,73.15855830000046,0.0
sc03,01-16 05:00:00+01:00,0.0,0.0,0.0
sc03,01-16 06:00:00+01:00,0.0,0.0,0.0
sc03,01-16 07:00:00+01:00,0.0,0.0,0.0
sc03,01-16 08:00:00+01:00,0.0,0.0,0.0
sc03,01-16 09:00:00+01:00,0.0,0.0,0.0
sc03,01-16 10:00:00+01:00,0.0,0.0,0.0
sc03,01-16 11:00:00+01:00,0.0,0.0,0.0
sc03,01-16 12:00:00+01:00,100.0,161.70119820000033,0.0
sc03,01-16 13:00:00+01:00,10.526315789473694,362.62906561052614,0.0
sc03,01-16 14:00:00+01:00,100.0,138.88011950000018,0.0
sc03,01-16 15:00:00+01:00,0.0,53.47871560000046,0.0
sc03,01-16 16:00:00+01:00,0.0,0.0,0.0
sc03,01-16 17:00:00+01:00,0.0,0.0,0.0
sc03,01-16 18:00:00+01:00,0.0,0.0,0.0
sc03,01-16 19:00:00+01:00,0.0,0.0,0.0
sc03,01-16 20:00:00+01:00,0.0,0.0,0.0
sc03,01-16 21:00:00+01:00,0.0,0.0,0.0
sc03,01-16 22:00:00+01:00,0.0,0.0,0.0
sc03,01-16 23:00:00+01:00,0.0,309.432962,0.0
sc03,01-17 00:00:00+01:00,100.0,283.19248510000045,0.0
sc03,01-17 01:00:00+01:00,10.526315789473694,319.7371695105267,0.0
sc03,01-17 02:00:00+01:00,0.0,369.54427840000056,0.0
sc03,01-17 03:00:00+01:00,100.0,287.2608682999999,0.0
sc03,01-17 04:00:00+01:00,0.0,152.43338160000025,0.0
sc03,01-17 05:00:00+01:00,0.0,0.0,0.0
sc03,01-17 06:00:00+01:00,0.0,0.0,0.0
sc03,01-17 07:00:00+01:00,0.0,0.0,0.0
sc03,01-17 08:00:00+01:00,0.0,0.0,0.0
sc03,01-17 09:00:00+01:00,0.0,0.0,0.0
sc03,01-17 10:00:00+01:00,0.0,0.0,0.0
sc03,01-17 11:00:00+01:00,0.0,0.0,0.0
sc03,01-17 12:00:00+01:00,100.0,108.55782709999954,0.0
sc03,01-17 13:00:00+01:00,10.526315789473694,383.41438881052636,0.0
sc03,01-17 14:00:00+01:00,100.0,335.89201729999957,0.0
sc03,01-17 15:00:00+01:00,0.0,352.25069150000013,0.0
